"carr","mate","cien","soci","text","imag","exam","gene","estr","orig","edad","niLE","niMa","stra","age"
"Biol",12.03,10.84,12.08,10.62,10.68,696.4424,"F","alto","Bogo","a17","noLE","siMa","E4",17
"Biol",11.75,11.16,11.71,10.35,11.6,703.2127,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",10.03,10.51,10.7,9.57,8.8,503.9774,"F","bajo","Bogo","a18","siLE","siMa","E2",18
"Biol",11.48,11.48,11.71,10.91,11.6,714.7407,"F","bajo","Bogo","a18","noLE","siMa","E2",18
"Biol",11.21,10.84,12.08,11.21,11.26,693.1449,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",11.75,10.84,11.36,10.91,10.96,675.0821,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",10.93,11.48,12.08,12.35,10.96,718.5616,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",11.48,11.16,11.03,11.92,11.6,699.8995,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",12.31,14.6,10.38,10.35,10.15,758.5971,"F","medio","Bogo","a19M","noLE","noMa","E3",19
"Biol",12.31,11.48,13.43,11.92,10.68,796.8844,"M","medio","Bogo","a18","noLE","noMa","E3",18
"Biol",10.93,11.16,11.36,10.91,12.01,683.2054,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Biol",10.64,12.45,12.92,11.21,11.26,755.933,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",12.03,12.12,13.43,12.87,12.01,859.0339,"M","medio","Bogo","a16m","noLE","siMa","E3",16
"Biol",11.21,11.8,11.03,12.87,12.54,752.3843,"F","alto","Bogo","a17","noLE","siMa","E4",17
"Biol",11.21,11.8,12.92,11.92,13.37,818.4096,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",12.03,11.8,10.7,11.92,11.26,721.108,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Biol",11.21,10.16,12.48,11.21,12.01,701.844,"M","medio","Bogo","a19M","noLE","siMa","E3",20
"Biol",11.48,12.45,11.03,10.91,10.96,708.7163,"F","medio","Bogo","a19M","noLE","siMa","E3",20
"Biol",10.93,16.52,12.48,11.21,11.6,897.2008,"M","alto","Otro","a17","noLE","siMa","E4",17
"Biol",11.21,10.51,12.48,11.54,12.54,732.7931,"M","medio","Bogo","a19M","noLE","siMa","E3",35
"Biol",10.93,10.51,12.08,12.35,12.01,711.6474,"M","bajo","Bogo","a19M","noLE","siMa","E2",20
"Biol",11.75,12.45,10.7,11.92,11.6,741.9344,"F","bajo","Bogo","a19M","noLE","siMa","E2",19
"Biol",12.31,13.17,11.36,12.87,12.01,835.3706,"M","alto","Otro","a17","noLE","noMa","E4",17
"Biol",12.31,12.8,10.7,12.35,12.01,791.0798,"M","bajo","Bogo","a19M","noLE","noMa","E2",19
"Biol",10.64,12.8,10.38,10.91,11.26,677.092,"F","medio","Otro","a17","noLE","siMa","E3",17
"Biol",11.21,11.48,10.38,11.21,12.01,676.3592,"M","bajo","Cund","a17","noLE","siMa","E2",17
"Biol",10.64,11.8,11.36,11.21,12.01,700.3209,"F","alto","Bogo","a16m","noLE","siMa","E4",16
"Biol",11.75,10.51,11.36,12.87,9.89,673.9515,"F","medio","Cund","a17","noLE","siMa","E3",17
"Biol",10.34,11.16,12.48,10.91,11.6,690.1458,"M","bajo","Bogo","a19M","noLE","siMa","E2",20
"Biol",12.61,11.8,11.03,11.54,10.68,730.8382,"M","bajo","Otro","a16m","noLE","noMa","E2",16
"Biol",12.03,12.12,11.03,9.83,10.68,689.7977,"F","alto","Cund","a16m","siLE","siMa","E4",16
"Biol",12.03,12.45,11.71,12.35,9.64,744.7451,"M","bajo","Bogo","a19M","noLE","siMa","E2",21
"Biol",12.03,10.16,10.38,12.35,13.37,714.7512,"F","bajo","Otro","a19M","noLE","siMa","E2",20
"Biol",12.03,12.8,12.08,12.87,11.6,826.9071,"M","medio","Cund","a16m","noLE","siMa","E3",16
"Biol",12.03,11.16,11.36,12.87,11.6,747.8149,"M","bajo","Cund","a17","noLE","siMa","E1",17
"Biol",10.64,10.16,10.38,10.91,9.37,541.4639,"F","bajo","Otro","a16m","siLE","siMa","E2",16
"Biol",11.48,11.16,12.08,11.92,11.6,735.0254,"M","bajo","Cund","a17","noLE","siMa","E2",17
"Biol",10.93,11.8,11.71,11.54,11.6,718.0487,"F","medio","Otro","a16m","noLE","siMa","E3",16
"Biol",11.48,11.8,12.48,10.91,10.68,728.2211,"M","alto","Cund","a17","noLE","siMa","E4",17
"Biol",11.21,12.12,9.02,10.62,8.8,562.62,"F","bajo","Otro","a18","siLE","siMa","E2",18
"Biol",10.34,9.37,10.7,9.57,10.41,516.144,"M","bajo","Otro","a18","siLE","siMa","E2",18
"Biol",11.75,11.48,11.71,11.21,10.68,707.044,"F","medio","Otro","a16m","noLE","siMa","E3",16
"Biol",12.03,11.16,10.7,10.91,12.54,712.4378,"M","bajo","Otro","a17","noLE","siMa","E2",17
"Biol",10.93,11.8,11.36,10.35,12.01,694.2938,"M","alto","Bogo","a17","noLE","siMa","E4",17
"Biol",11.21,11.16,11.36,12.35,11.26,701.0641,"F","medio","Bogo","a16m","noLE","siMa","E3",16
"Biol",11.21,11.16,12.08,11.92,10.41,696.076,"M","alto","Bogo","a19M","noLE","siMa","E4",19
"Biol",12.92,12.12,14.04,12.87,10.96,884.4873,"M","alto","Bogo","a16m","noLE","noMa","E4",16
"Biol",10.93,11.8,11.03,10.35,12.54,696.1048,"M","medio","Bogo","a19M","noLE","siMa","E3",19
"Biol",12.92,11.8,13.43,12.35,12.01,869.5178,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Biol",11.48,11.16,11.03,11.54,12.01,703.0269,"M","bajo","Bogo","a18","noLE","siMa","E2",18
"Biol",10.64,13.17,10.38,11.92,9.89,674.6451,"M","alto","Bogo","a17","noLE","siMa","E4",17
"Biol",10.93,12.8,11.36,12.35,10.96,739.0374,"M","alto","Bogo","a18","noLE","siMa","E4",18
"Biol",11.48,10.84,10.7,11.92,12.01,688.1071,"F","medio","Bogo","a18","noLE","siMa","E3",18
"Biol",12.03,12.8,11.36,12.35,12.54,816.2819,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Biol",10.93,11.16,11.36,11.21,13.37,722.2674,"M","alto","Bogo","a17","noLE","siMa","E4",17
"Biol",11.75,10.84,10.7,11.21,12.01,684.5872,"M","medio","Bogo","a16m","noLE","siMa","E3",16
"Biol",12.03,11.16,11.71,14.67,11.6,792.6134,"F","alto","Bogo","a17","noLE","siMa","E4",17
"Biol",10.03,11.48,9.72,11.54,9.89,567.5165,"M","bajo","Otro","a16m","noLE","siMa","E1",16
"Biol",10.93,10.51,9.02,9.05,9.89,496.4638,"F","medio","Otro","a17","siLE","siMa","E3",17
"Biol",12.03,11.8,11.36,11.54,11.6,744.7425,"M","medio","Otro","a17","noLE","siMa","E3",17
"Biol",14.59,14.6,11.71,11.92,10.96,931.1674,"M","bajo","Otro","a16m","noLE","noMa","E1",16
"Biol",11.21,11.48,11.03,11.21,9.64,639.5924,"F","bajo","Otro","a16m","noLE","siMa","E2",15
"Biol",11.48,10.16,11.36,11.21,12.54,687.0891,"M","bajo","Otro","a16m","noLE","siMa","E2",16
"Esta",12.31,10.84,11.71,11.21,10.96,711.8411,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Esta",11.75,11.8,12.08,11.54,12.01,769.0757,"M","alto","Bogo","a16m","noLE","siMa","E4",16
"Esta",11.75,11.8,11.71,10.91,10.96,719.017,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Esta",10.93,12.12,12.48,12.87,10.41,749.5919,"F","alto","Bogo","a16m","noLE","siMa","E5",16
"Esta",10.93,11.16,10.38,12.35,12.01,676.9559,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Esta",11.75,10.84,11.03,11.21,14.71,761.9679,"M","medio","Bogo","a19M","noLE","siMa","E3",30
"Esta",11.75,12.8,12.08,11.54,11.26,784.3697,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Esta",11.21,10.51,10.7,10.91,12.01,648.6605,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Esta",11.48,11.8,11.36,12.87,9.89,707.9888,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Esta",11.21,11.16,11.71,9.83,13.37,717.9597,"M","medio","Bogo","a17","siLE","siMa","E3",17
"Esta",11.21,10.84,9.38,10.08,12.01,600.5985,"F","bajo","Bogo","a19M","siLE","siMa","E2",19
"Esta",11.48,10.16,12.08,12.87,11.26,710.2604,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Esta",11.75,11.8,10.7,11.21,10.68,684.035,"M","medio","Bogo","a16m","noLE","siMa","E3",16
"Esta",12.92,11.16,10.38,10.08,12.01,704.4532,"F","medio","Bogo","a17","siLE","noMa","E3",17
"Esta",12.61,11.48,9.72,11.21,13.37,736.6715,"F","medio","Bogo","a16m","noLE","noMa","E3",16
"Esta",11.75,10.84,12.08,11.21,10.96,704.6808,"F","medio","Bogo","a16m","noLE","siMa","E3",16
"Esta",11.75,12.45,11.36,9.83,10.68,702.5218,"M","bajo","Bogo","a17","siLE","siMa","E2",17
"Esta",12.92,12.45,10.38,10.91,9.64,704.6049,"F","alto","Bogo","a16m","noLE","noMa","E4",16
"Esta",11.75,10.51,10.7,10.35,12.01,657.3726,"M","bajo","Bogo","a19M","noLE","siMa","E2",19
"Esta",12.03,11.8,10.7,10.62,11.6,705.5733,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Esta",10.93,10.51,12.08,11.21,12.01,690.6692,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Esta",10.64,10.16,11.71,10.91,10.41,611.522,"F","bajo","Bogo","a16m","noLE","siMa","E2",16
"Esta",11.21,11.16,10.7,10.62,10.96,639.5715,"M","bajo","Bogo","a16m","noLE","siMa","E2",16
"Esta",11.48,10.16,11.71,10.35,11.26,651.3272,"F","medio","Bogo","a16m","noLE","siMa","E3",16
"Esta",11.75,10.84,11.36,11.21,11.6,696.6622,"M","medio","Bogo","a19M","noLE","siMa","E3",39
"Esta",9.68,10.51,11.71,13.56,10.96,652.5703,"F","bajo","Bogo","a19M","noLE","siMa","E2",20
"Esta",15.29,12.45,9.72,10.62,11.6,808.245,"M","bajo","Bogo","a19M","noLE","noMa","E2",21
"Esta",11.48,10.16,11.03,9.83,12.01,637.3234,"F","bajo","Cund","a17","siLE","siMa","E2",17
"Esta",10.93,10.16,11.36,11.54,11.26,642.6308,"M","bajo","Bogo","a19M","noLE","siMa","E1",19
"Esta",10.03,10.51,11.36,10.91,10.96,603.7992,"M","bajo","Bogo","a19M","noLE","siMa","E2",20
"Esta",10.64,11.48,10.7,10.35,10.96,625.6384,"M","bajo","Bogo","a16m","noLE","siMa","E2",16
"Esta",11.75,12.12,11.03,11.21,12.54,751.6253,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Esta",11.21,11.16,10.7,11.54,10.68,649.7413,"M","bajo","Bogo","a19M","noLE","siMa","E2",25
"Esta",10.34,10.84,11.36,10.91,10.41,612.5636,"F","medio","Cund","a16m","noLE","siMa","E3",16
"Esta",11.75,9.78,12.08,10.91,10.68,656.3991,"M","bajo","Bogo","a19M","noLE","siMa","E2",31
"Esta",11.75,11.16,11.71,10.91,11.26,705.1048,"M","bajo","Otro","a17","noLE","siMa","E2",17
"Esta",10.03,11.48,10.38,9.57,12.01,605.0213,"M","medio","Bogo","a18","siLE","siMa","E3",18
"Esta",14.07,11.16,11.03,12.87,10.41,778.0182,"M","medio","Bogo","a19M","noLE","noMa","E3",30
"Esta",11.48,10.16,11.36,11.92,10.15,641.3328,"F","bajo","Cund","a17","noLE","siMa","E2",17
"Esta",11.48,12.12,9.38,11.54,8.8,601.2763,"M","bajo","Cund","a19M","noLE","siMa","E2",22
"Esta",11.75,11.8,11.03,10.91,10.68,689.29,"M","alto","Cund","a17","noLE","siMa","E4",17
"Esta",11.48,10.16,11.03,10.91,10.41,617.8553,"M","medio","Otro","a17","noLE","siMa","E3",17
"Esta",10.03,11.48,9.72,10.62,9.37,537.5566,"M","medio","Otro","a16m","noLE","siMa","E3",16
"Esta",11.48,11.8,12.08,10.62,9.64,684.0062,"F","alto","Otro","a17","noLE","siMa","E4",17
"Esta",11.75,11.8,11.36,12.87,9.64,711.1423,"M","bajo","Bogo","a16m","noLE","siMa","E2",16
"Esta",10.64,11.16,11.03,12.35,11.26,670.2772,"M","medio","Bogo","a16m","noLE","siMa","E3",16
"Esta",12.03,12.12,10.38,10.08,12.54,718.7056,"F","bajo","Bogo","a16m","siLE","siMa","E2",16
"Esta",11.21,10.51,11.36,10.91,10.96,644.8029,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Esta",12.61,10.51,10.7,9.57,10.68,639.8986,"F","medio","Bogo","a16m","siLE","noMa","E3",15
"Esta",12.92,10.51,12.08,11.92,12.54,786.0002,"M","medio","Bogo","a16m","noLE","noMa","E3",16
"Esta",11.21,11.48,10.38,9.83,11.26,632.3197,"M","bajo","Bogo","a17","siLE","siMa","E2",17
"Esta",11.75,11.48,10.38,10.08,11.26,656.1216,"M","medio","Bogo","a16m","siLE","siMa","E3",16
"Esta",10.64,10.16,11.36,10.91,11.6,629.3153,"M","bajo","Bogo","a19M","noLE","siMa","E2",19
"Esta",11.21,11.16,11.36,10.08,13.37,711.0952,"M","medio","Bogo","a17","siLE","siMa","E3",17
"Esta",12.61,10.84,11.03,11.21,11.6,715.2328,"F","medio","Bogo","a19M","noLE","noMa","E3",22
"Esta",11.21,12.8,12.08,11.54,10.41,744.3421,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Esta",12.61,10.51,11.36,10.91,10.68,686.6625,"M","alto","Bogo","a18","noLE","noMa","E4",18
"Esta",11.21,10.84,10.7,10.91,10.41,620.4776,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Esta",11.75,11.8,10.7,11.54,12.54,736.033,"M","alto","Bogo","a17","noLE","siMa","E4",17
"Esta",10.64,11.48,11.71,10.91,13.37,729.0193,"M","bajo","Otro","a19M","noLE","siMa","E2",20
"Esta",10.03,10.84,9.38,11.54,10.41,547.1638,"M","bajo","Otro","a18","noLE","siMa","E1",18
"Esta",10.64,11.8,11.71,11.92,11.6,714.9789,"F","medio","Otro","a17","noLE","siMa","E3",17
"Esta",13.26,12.45,10.7,10.91,10.41,746.1897,"M","medio","Otro","a17","noLE","noMa","E3",17
"Esta",10.64,10.16,10.7,9.57,10.15,546.7529,"M","bajo","Otro","a18","siLE","siMa","E0",18
"Esta",12.31,10.84,10.05,10.62,10.41,632.0684,"M","medio","Otro","a17","noLE","noMa","E3",17
"Esta",12.61,11.16,11.71,10.91,10.96,727.3496,"M","alto","Bogo","a17","noLE","noMa","E4",17
"Farm",12.03,13.17,12.08,12.35,12.01,839.7987,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Farm",10.34,10.84,11.71,11.21,10.96,643.3322,"F","medio","Bogo","a16m","noLE","siMa","E3",16
"Farm",10.64,10.51,12.48,10.62,10.41,643.6776,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Farm",10.64,12.45,10.7,10.62,11.6,679.3191,"F","medio","Bogo","a16m","noLE","siMa","E3",16
"Farm",10.93,11.48,11.71,10.91,10.15,659.7489,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Farm",11.48,11.48,10.38,11.21,10.96,659.9504,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Farm",10.64,11.8,12.08,10.62,9.89,661.2249,"F","medio","Bogo","a18","noLE","siMa","E3",18
"Farm",10.64,11.16,11.36,10.91,10.96,647.3258,"F","medio","Bogo","a19M","noLE","siMa","E3",19
"Farm",11.48,10.84,11.36,11.21,10.96,671.2194,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Farm",12.03,12.8,11.36,11.21,10.68,749.461,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Farm",10.93,10.84,11.71,11.54,10.96,669.8114,"F","bajo","Bogo","a17","noLE","siMa","E2",17
"Farm",12.61,11.8,10.7,12.35,10.41,728.1897,"F","medio","Bogo","a16m","noLE","noMa","E3",16
"Farm",11.75,10.84,10.7,10.35,10.96,642.6805,"F","medio","Bogo","a18","noLE","siMa","E3",18
"Farm",11.48,10.16,11.03,11.21,10.96,636.9937,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Farm",12.03,11.8,10.05,10.08,10.68,651.1781,"F","medio","Bogo","a17","siLE","siMa","E3",17
"Farm",10.93,12.12,11.36,9.57,10.68,657.9196,"F","medio","Bogo","a17","siLE","siMa","E3",17
"Farm",12.61,9.78,10.7,11.54,10.68,651.9187,"F","medio","Bogo","a16m","noLE","noMa","E3",16
"Farm",13.26,11.48,11.71,12.35,11.6,803.2334,"M","medio","Bogo","a16m","noLE","noMa","E3",16
"Farm",10.93,12.12,11.03,11.92,11.26,704.5317,"F","bajo","Bogo","a19M","noLE","siMa","E2",23
"Farm",10.93,11.16,11.71,11.21,10.41,661.0574,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Farm",10.64,12.8,11.03,11.54,11.26,710.5954,"F","bajo","Bogo","a16m","noLE","siMa","E2",16
"Farm",10.34,12.12,10.7,11.21,12.54,691.6951,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Farm",13.26,11.8,11.36,11.54,10.41,758.0554,"F","medio","Bogo","a16m","noLE","noMa","E3",16
"Farm",11.21,11.8,11.03,11.54,9.64,656.4462,"F","medio","Bogo","a18","noLE","siMa","E3",18
"Farm",11.48,13.17,11.03,11.92,12.01,777.5942,"M","bajo","Bogo","a19M","noLE","siMa","E2",23
"Farm",11.48,11.16,12.92,11.21,10.96,734.1435,"M","medio","Otro","a17","noLE","siMa","E3",17
"Farm",10.64,9.37,11.36,11.54,12.54,637.5014,"M","medio","Bogo","a19M","noLE","siMa","E3",23
"Farm",10.64,11.48,11.36,11.92,10.96,676.7178,"F","bajo","Bogo","a17","noLE","siMa","E2",17
"Farm",11.21,12.12,10.38,10.08,12.54,690.049,"M","bajo","Bogo","a19M","siLE","siMa","E2",20
"Farm",10.34,11.48,11.71,10.91,11.26,666.7913,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Farm",12.03,10.51,12.08,10.35,10.96,687.0865,"M","bajo","Bogo","a19M","noLE","siMa","E2",19
"Farm",10.34,11.48,11.03,11.21,10.96,642.1336,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Farm",12.31,12.45,11.36,14.67,11.6,834.2715,"M","medio","Bogo","a18","noLE","noMa","E3",18
"Farm",11.48,12.12,11.36,9.57,10.96,684.035,"F","bajo","Otro","a16m","siLE","siMa","E1",16
"Farm",10.64,11.16,10.7,10.62,14.71,712.3723,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Farm",11.21,10.84,10.7,10.91,11.6,649.9009,"F","bajo","Bogo","a18","noLE","siMa","E1",18
"Farm",11.21,11.8,11.03,11.54,9.89,662.803,"M","bajo","Bogo","a19M","noLE","siMa","E2",26
"Farm",11.48,11.8,11.36,12.87,11.26,741.6649,"F","bajo","Bogo","a18","noLE","siMa","E1",18
"Farm",11.75,10.84,11.36,10.91,10.41,661.5913,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Farm",10.93,10.84,12.08,16.46,10.15,753.0464,"F","medio","Otro","a16m","noLE","siMa","E3",16
"Farm",11.21,11.16,10.05,11.54,11.26,642.5261,"M","bajo","Bogo","a18","noLE","siMa","E1",18
"Farm",12.31,14.04,10.38,11.54,10.96,781.6323,"M","bajo","Cund","a19M","noLE","noMa","E1",20
"Farm",10.34,10.84,11.71,10.35,11.6,643.2929,"M","bajo","Cund","a18","noLE","siMa","E2",18
"Farm",11.48,11.48,11.71,10.62,11.6,709.4517,"M","bajo","Cund","a16m","noLE","siMa","E2",16
"Farm",10.93,12.8,12.48,12.87,10.41,772.4753,"F","bajo","Bogo","a16m","noLE","siMa","E2",16
"Farm",11.75,11.48,11.71,11.92,11.26,734.4968,"M","alto","Bogo","a19M","noLE","siMa","E4",20
"Farm",11.75,10.84,10.7,12.35,9.89,653.4549,"F","medio","Otro","a16m","noLE","siMa","E3",16
"Farm",10.64,9.37,10.38,10.91,10.68,546.9806,"F","bajo","Otro","a16m","siLE","siMa","E2",16
"Farm",11.48,11.16,11.71,11.21,10.68,686.8195,"M","medio","Cund","a17","noLE","siMa","E3",17
"Farm",11.21,11.16,11.71,10.91,10.68,671.6459,"F","bajo","Otro","a19M","noLE","siMa","E2",22
"Farm",10.93,11.8,11.71,10.35,10.96,679.9891,"F","bajo","Bogo","a19M","noLE","siMa","E2",20
"Farm",11.21,12.45,11.36,13.56,10.15,739.5738,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Farm",11.75,12.12,11.03,12.35,9.64,701.1505,"M","medio","Bogo","a19M","noLE","siMa","E3",19
"Farm",11.21,10.84,11.36,11.54,11.6,683.7812,"F","bajo","Otro","a19M","noLE","siMa","E1",19
"Farm",10.93,12.12,10.7,11.54,12.54,718.1743,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Farm",11.21,11.48,10.05,10.91,11.6,649.8695,"F","medio","Bogo","a18","noLE","siMa","E3",18
"Farm",11.21,11.8,12.08,13.56,9.89,735.2008,"F","alto","Bogo","a17","noLE","siMa","E4",17
"Farm",11.21,11.16,11.03,10.62,10.41,636.9832,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Farm",12.03,12.12,12.08,10.08,10.15,716.7454,"F","alto","Bogo","a17","noLE","siMa","E4",17
"Farm",12.31,12.12,12.08,11.92,9.37,741.2985,"M","medio","Bogo","a16m","noLE","noMa","E3",16
"Farm",11.21,12.12,10.05,10.91,10.68,648.5584,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Farm",11.48,11.16,11.71,10.91,10.41,674.6032,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Farm",11.21,11.48,11.03,10.91,11.6,682.4098,"F","medio","Bogo","a18","noLE","siMa","E3",18
"Farm",11.48,10.84,11.36,10.62,10.68,653.3607,"F","alto","Bogo","a16m","noLE","siMa","E4",16
"Farm",10.34,12.45,11.03,10.35,12.54,697.7954,"M","alto","Bogo","a16m","noLE","siMa","E4",16
"Farm",12.03,10.16,11.03,11.92,9.89,642.9789,"M","bajo","Bogo","a18","noLE","siMa","E2",18
"Farm",10.93,12.45,11.03,10.08,10.41,660.8402,"M","alto","Bogo","a16m","siLE","siMa","E4",16
"Farm",11.48,11.48,11.36,10.08,11.6,687.9187,"M","bajo","Otro","a17","siLE","siMa","E1",17
"Farm",10.93,10.51,12.92,14.67,10.41,743.133,"F","alto","Otro","a17","noLE","siMa","E4",17
"Farm",10.34,11.8,11.03,10.91,12.01,673.1193,"F","bajo","Otro","a16m","noLE","siMa","E2",16
"Farm",10.34,11.48,11.71,10.35,11.6,664.8992,"F","bajo","Otro","a17","noLE","siMa","E2",17
"Farm",9.68,10.16,11.03,10.62,10.68,556.6715,"M","bajo","Otro","a17","noLE","siMa","E1",17
"Farm",10.03,11.16,10.05,9.83,9.89,536.0858,"F","bajo","Otro","a19M","siLE","siMa","E1",20
"Fisi",11.75,11.48,11.36,11.54,10.15,688.6253,"M","alto","Bogo","a18","noLE","siMa","E4",18
"Fisi",13.26,12.45,12.48,12.35,12.54,884.571,"M","alto","Bogo","a16m","noLE","noMa","E4",16
"Fisi",14.07,12.12,12.08,11.54,10.68,827.4855,"F","medio","Bogo","a16m","noLE","noMa","E3",16
"Fisi",12.03,12.45,12.48,11.92,9.89,768.7905,"M","medio","Bogo","a16m","noLE","siMa","E3",16
"Fisi",10.93,13.17,11.36,10.91,12.01,750.8978,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Fisi",11.21,11.8,12.08,12.35,10.41,725.4366,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Fisi",13.63,13.58,11.03,11.92,14.71,932.79,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Fisi",14.07,12.12,11.71,11.54,10.96,822.0865,"M","medio","Bogo","a18","noLE","noMa","E3",18
"Fisi",12.03,12.12,11.71,10.91,12.01,765.4171,"M","bajo","Bogo","a16m","noLE","siMa","E2",16
"Fisi",10.64,11.8,11.36,11.21,11.6,690.3185,"M","medio","Bogo","a19M","noLE","siMa","E3",19
"Fisi",12.61,10.16,12.08,11.54,10.15,697.6646,"M","bajo","Bogo","a18","noLE","noMa","E2",18
"Fisi",12.31,12.8,10.7,10.08,11.26,730.8277,"M","alto","Bogo","a16m","siLE","noMa","E4",16
"Fisi",12.03,10.84,11.71,11.92,10.41,701.5195,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Fisi",12.92,13.17,11.36,11.92,11.6,828.8882,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Fisi",11.75,12.45,10.05,10.35,11.26,682.8626,"M","bajo","Bogo","a18","noLE","siMa","E2",18
"Fisi",13.26,12.12,11.03,11.92,11.26,785.5919,"M","alto","Bogo","a16m","noLE","noMa","E4",16
"Fisi",10.64,10.84,12.08,11.21,11.26,673.5328,"M","alto","Bogo","a17","noLE","siMa","E4",17
"Fisi",10.93,12.12,11.36,10.62,11.26,691.7396,"M","medio","Bogo","a19M","noLE","siMa","E3",40
"Fisi",11.21,12.12,12.48,12.35,10.96,763.088,"M","alto","Bogo","a17","noLE","siMa","E5",17
"Fisi",13.26,12.45,12.48,11.21,12.01,850.607,"M","alto","Bogo","a17","noLE","noMa","E5",17
