"carr","mate","cien","soci","text","imag","exam","gene","estr","orig","edad","niLE","niMa","stra","age"
"Fisi",12.31,11.16,10.05,11.92,11.26,687.9187,"F","bajo","Bogo","a19M","noLE","noMa","E1",21
"Fisi",11.48,13.17,11.71,11.92,12.01,800.3991,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Fisi",10.34,13.17,11.36,10.62,10.68,692.4279,"M","alto","Otro","a16m","noLE","siMa","E4",16
"Fisi",11.48,11.16,11.71,10.62,10.41,669.3142,"M","bajo","Bogo","a19M","noLE","siMa","E2",21
"Fisi",13.26,11.8,11.36,11.92,10.96,778.4212,"M","alto","Bogo","a17","noLE","noMa","E5",17
"Fisi",13.26,10.84,11.36,11.21,12.01,759.0211,"M","alto","Otro","a16m","noLE","noMa","E4",16
"Fisi",13.63,9.78,11.71,11.92,10.15,715.217,"M","medio","Bogo","a19M","noLE","noMa","E3",23
"Fisi",11.75,11.8,12.08,10.91,12.01,757.2729,"M","bajo","Cund","a17","noLE","siMa","E2",17
"Fisi",12.92,11.16,11.03,11.21,11.26,728.5587,"M","bajo","Bogo","a16m","noLE","noMa","E2",15
"Fisi",11.21,9.78,9.38,9.83,9.37,495.1422,"F","bajo","Otro","a18","siLE","siMa","E1",18
"Fisi",12.61,13.58,11.36,10.91,10.68,790.2921,"F","bajo","Otro","a17","noLE","noMa","E2",17
"Fisi",10.93,11.16,12.08,11.54,12.01,718.9594,"F","alto","Bogo","a19M","noLE","siMa","E4",21
"Fisi",10.64,10.84,11.71,11.21,8.48,592.7866,"F","bajo","Cund","a18","noLE","siMa","E2",18
"Fisi",12.31,11.48,11.03,12.35,10.96,731.6207,"M","medio","Bogo","a18","noLE","noMa","E3",18
"Fisi",14.07,13.17,12.92,11.54,12.54,936.8438,"M","bajo","Cund","a17","noLE","noMa","E2",17
"Fisi",12.61,12.8,12.48,10.91,11.26,815.6277,"M","bajo","Otro","a16m","noLE","noMa","E2",16
"Fisi",9.3,11.48,10.05,10.62,10.41,548.9564,"M","bajo","Otro","a16m","siLE","siMa","E2",16
"Fisi",14.07,10.84,11.71,10.62,10.96,761.8449,"M","bajo","Otro","a19M","noLE","noMa","E2",26
"Fisi",11.75,12.12,10.38,12.35,10.68,705.0603,"F","bajo","Cund","a17","noLE","siMa","E2",17
"Fisi",12.03,12.45,14.04,13.56,11.6,893.3852,"M","medio","Cund","a17","noLE","siMa","E3",17
"Fisi",10.34,10.84,9.38,8.2,9.64,477.3176,"M","bajo","Otro","a16m","siLE","siMa","E1",15
"Fisi",14.59,12.45,12.48,11.54,10.96,877.1491,"M","medio","Otro","a17","noLE","noMa","E3",17
"Fisi",12.03,10.51,12.08,11.21,10.68,696.1362,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Fisi",11.48,10.84,12.08,11.21,10.68,688.2484,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Fisi",10.93,11.48,11.03,12.35,11.26,690.9361,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Fisi",12.03,12.12,11.03,11.54,11.6,744.4128,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Fisi",14.07,12.45,12.08,11.92,11.26,859.9525,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Fisi",15.29,14.6,12.92,13.56,12.54,1065.1678,"M","alto","Bogo","a17","noLE","noMa","E4",17
"Fisi",11.48,12.12,11.03,11.54,10.96,709.3496,"F","alto","Bogo","a17","noLE","siMa","E4",17
"Fisi",11.48,12.8,11.36,10.62,12.54,765.2366,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Fisi",11.75,10.51,9.02,9.83,10.96,565.6532,"M","bajo","Otro","a19M","siLE","siMa","E1",19
"Fisi",12.03,12.45,11.03,11.54,10.68,732.7277,"M","medio","Bogo","a16m","noLE","siMa","E3",16
"Fisi",14.07,12.12,10.7,10.62,11.6,787.2197,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Fisi",12.61,11.8,12.08,12.35,11.6,803.6416,"F","alto","Bogo","a16m","noLE","noMa","E4",16
"Fisi",12.03,10.51,12.08,9.83,10.96,677.4531,"F","alto","Bogo","a16m","siLE","siMa","E4",16
"Fisi",11.48,11.16,11.03,9.83,12.54,684.2522,"M","medio","Bogo","a17","siLE","siMa","E3",17
"Fisi",12.03,12.8,11.36,11.92,10.68,762.4913,"M","alto","Bogo","a16m","noLE","siMa","E4",16
"Fisi",11.48,11.16,11.71,12.87,10.41,710.8911,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Fisi",11.75,10.84,12.92,10.62,11.6,737.7576,"M","alto","Bogo","a18","noLE","siMa","E4",18
"Fisi",12.61,12.45,13.43,13.56,12.01,903.1153,"M","alto","Bogo","a18","noLE","noMa","E4",18
"Fisi",15.29,14.04,14.84,14.67,13.37,1151.0433,"M","alto","Bogo","a19M","noLE","noMa","E4",32
"Fisi",10.64,10.51,10.38,10.62,10.96,587.0265,"M","bajo","Otro","a16m","siLE","siMa","E2",16
"Fisi",10.64,10.16,11.36,11.92,12.54,670.9812,"M","medio","Bogo","a19M","noLE","siMa","E3",20
"Fisi",12.92,12.8,11.36,11.21,11.6,803.3066,"M","bajo","Bogo","a16m","noLE","noMa","E2",16
"Fisi",12.31,11.48,11.36,10.35,12.01,731.7803,"M","medio","Bogo","a19M","noLE","noMa","E3",19
"Fisi",11.48,10.84,10.7,13.56,12.01,718.5041,"M","medio","Bogo","a19M","noLE","siMa","E3",27
"Fisi",12.61,11.8,10.05,10.08,10.96,678.2252,"F","medio","Bogo","a17","siLE","noMa","E3",17
"Fisi",12.31,10.51,11.36,10.91,12.01,709.2554,"F","medio","Bogo","a17","noLE","noMa","E3",17
"Fisi",13.63,13.17,12.08,11.54,12.54,893.7463,"M","medio","Bogo","a18","noLE","noMa","E3",18
"Fisi",12.31,14.6,11.36,11.92,13.37,899.6896,"M","medio","Bogo","a19M","noLE","noMa","E3",23
"Fisi",11.48,11.16,11.36,10.91,13.37,735.8132,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Fisi",12.92,10.51,11.71,11.92,10.15,714.8925,"M","medio","Bogo","a19M","noLE","noMa","E3",22
"Fisi",13.63,10.51,11.36,11.21,13.37,794.2412,"M","bajo","Bogo","a17","noLE","noMa","E2",17
"Fisi",11.21,10.16,11.71,11.92,12.54,702.2234,"M","bajo","Otro","a17","noLE","siMa","E1",17
"Fisi",12.03,11.8,12.48,11.92,10.96,772.9516,"M","bajo","Otro","a17","noLE","siMa","E2",17
"Fisi",11.48,12.8,11.36,11.54,11.6,759.3404,"M","medio","Otro","a16m","noLE","siMa","E3",16
"Fisi",11.21,11.48,11.03,11.92,13.37,744.5044,"M","medio","Otro","a17","noLE","siMa","E3",17
"Fisi",12.61,12.8,11.36,10.91,9.37,731.8169,"M","medio","Otro","a17","noLE","noMa","E3",17
"Fisi",9.3,12.45,10.38,10.91,11.6,627.2217,"M","bajo","Otro","a17","noLE","siMa","E1",17
"Fisi",10.93,10.16,11.36,11.21,10.96,628.9751,"M","bajo","Otro","a16m","noLE","siMa","E2",16
"Fisi",12.92,12.12,10.7,11.92,12.01,781.3785,"M","bajo","Otro","a16m","noLE","noMa","E1",16
"Fisi",12.61,12.8,10.05,9.05,12.01,718.8129,"M","medio","Bogo","a19M","siLE","noMa","E3",39
"Geol",12.03,11.8,12.08,11.92,11.26,767.1365,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Geol",13.26,11.16,12.92,11.21,12.54,834.931,"F","alto","Bogo","a17","noLE","noMa","E6",17
"Geol",12.31,11.16,12.48,12.35,9.37,730.3043,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Geol",12.31,11.8,12.48,10.62,10.41,745.3549,"M","alto","Bogo","a16m","noLE","noMa","E5",16
"Geol",11.48,11.8,11.71,11.21,11.6,731.0868,"M","medio","Bogo","a19M","noLE","siMa","E3",19
"Geol",12.61,11.8,10.7,11.21,11.26,728.2028,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Geol",12.61,12.12,11.36,10.91,11.26,755.4776,"M","bajo","Bogo","a17","noLE","noMa","E2",17
"Geol",12.03,11.16,10.38,10.91,13.37,722.0685,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Geol",13.26,12.12,11.36,11.92,13.37,848.6155,"M","medio","Bogo","a16m","noLE","noMa","E3",16
"Geol",12.61,11.8,10.7,12.35,11.6,757.6131,"M","alto","Bogo","a17","noLE","noMa","E4",17
"Geol",10.64,10.84,12.48,11.92,13.37,751.7274,"M","alto","Cund","a17","noLE","siMa","E4",17
"Geol",11.75,12.12,11.71,11.54,11.6,757.5974,"M","alto","Cund","a17","noLE","siMa","E4",17
"Geol",13.26,11.48,11.36,11.21,12.54,793.6131,"M","bajo","Cund","a17","noLE","noMa","E1",17
"Geol",12.03,11.8,11.71,11.92,11.6,763.2476,"M","medio","Cund","a16m","noLE","siMa","E3",16
"Geol",10.93,11.16,11.36,11.54,13.37,728.4226,"M","bajo","Otro","a17","noLE","siMa","E2",17
"Geol",11.48,12.12,12.08,13.56,10.68,774.8254,"M","bajo","Otro","a19M","noLE","siMa","E2",19
"Geol",10.34,10.16,10.05,10.35,10.41,535.4734,"M","bajo","Bogo","a19M","noLE","siMa","E1",20
"Geol",12.03,12.12,11.71,10.91,11.26,746.9827,"M","bajo","Bogo","a16m","noLE","siMa","E2",16
"Geol",10.93,10.16,11.36,11.21,10.68,622.053,"F","bajo","Otro","a17","noLE","siMa","E1",17
"Geol",12.61,11.48,12.08,11.54,11.26,769.6881,"M","bajo","Cund","a19M","noLE","noMa","E2",25
"Geol",13.26,11.16,12.08,11.21,11.26,775.4299,"M","medio","Otro","a17","noLE","noMa","E3",17
"Geol",12.03,12.12,13.43,14.67,11.26,873.7679,"M","alto","Otro","a16m","noLE","siMa","E4",16
"Geol",12.61,11.16,10.7,12.35,12.01,746.2028,"F","medio","Bogo","a16m","noLE","noMa","E3",16
"Geol",12.31,11.8,12.92,12.87,10.41,801.6972,"M","alto","Bogo","a16m","noLE","noMa","E4",16
"Geol",12.03,11.16,11.03,11.54,10.68,689.3005,"M","bajo","Otro","a16m","siLE","siMa","E1",15
"Geol",12.61,12.8,12.92,11.21,12.54,867.4608,"M","alto","Bogo","a18","noLE","noMa","E4",18
"Geol",11.21,11.8,12.08,11.92,11.26,738.4799,"F","alto","Bogo","a17","noLE","siMa","E4",17
"Geol",11.48,12.45,10.38,11.21,12.54,731.584,"M","alto","Bogo","a16m","noLE","siMa","E4",16
"Geol",11.48,12.12,10.7,11.54,12.01,724.3819,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Geol",12.03,12.45,12.08,10.91,10.41,749.482,"F","alto","Bogo","a18","noLE","siMa","E4",18
"Geol",14.07,11.8,11.71,11.92,10.41,804.6256,"M","alto","Bogo","a17","noLE","noMa","E4",17
"Geol",13.63,13.17,10.38,11.92,10.96,804.8743,"F","alto","Bogo","a16m","noLE","noMa","E4",16
"Geol",10.64,11.48,10.38,10.35,9.64,582.308,"M","bajo","Otro","a17","siLE","siMa","E1",17
"Geol",11.48,12.12,12.08,10.91,10.68,725.7506,"M","alto","Bogo","a16m","noLE","siMa","E4",16
"Geol",12.61,11.16,11.71,12.87,10.96,763.6375,"F","bajo","Bogo","a19M","noLE","noMa","E2",21
"Geol",13.26,12.12,12.92,12.87,10.68,851.9862,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Geol",14.07,15.34,13.43,11.92,12.54,1034.1375,"M","alto","Bogo","a17","noLE","noMa","E4",17
"Geol",11.75,12.45,10.7,10.91,11.6,723.2566,"M","bajo","Bogo","a19M","noLE","siMa","E2",20
"Geol",12.31,11.16,11.71,12.35,12.01,769.6463,"M","alto","Bogo","a17","noLE","noMa","E4",17
"Geol",11.48,12.12,11.03,11.21,12.01,729.1292,"M","alto","Bogo","a17","noLE","siMa","E4",17
"Geol",13.26,12.12,12.48,10.91,12.54,846.7757,"M","alto","Bogo","a17","noLE","noMa","E4",17
"Geol",11.21,13.17,10.38,10.35,12.54,730.3514,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Geol",13.26,10.84,12.48,11.54,10.68,769.5861,"M","bajo","Bogo","a17","noLE","noMa","E2",17
"Geol",10.93,9.37,10.38,9.57,11.6,555.0934,"M","bajo","Otro","a17","siLE","siMa","E2",17
"Geol",10.03,9.78,9.38,11.54,9.1,479.1076,"M","bajo","Otro","a19M","noLE","siMa","E1",19
"Mate",12.61,9.78,12.48,10.35,10.41,682.5668,"F","medio","Bogo","a19M","noLE","noMa","E3",31
"Mate",13.26,10.84,11.36,10.62,13.37,781.4988,"M","bajo","Bogo","a17","noLE","noMa","E2",17
"Mate",10.93,11.16,11.71,11.21,11.26,682.0487,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Mate",12.92,11.8,12.48,11.54,10.96,797.0676,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Mate",15.29,10.84,11.71,10.91,10.96,809.6713,"M","medio","Bogo","a19M","noLE","noMa","E3",20
"Mate",10.93,11.16,11.71,12.35,12.54,734.4471,"M","medio","Bogo","a16m","noLE","siMa","E3",16
"Mate",15.29,15.34,12.92,13.56,12.01,1077.159,"M","medio","Bogo","a18","noLE","noMa","E3",18
"Mate",12.61,10.16,10.05,12.87,11.26,681.8498,"M","medio","Bogo","a19M","noLE","noMa","E3",23
"Mate",11.75,11.48,12.92,12.35,12.01,801.2811,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Mate",13.26,12.12,11.36,11.92,13.37,848.6155,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Mate",12.61,13.58,12.08,11.21,10.96,826.8129,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Mate",11.48,10.16,11.36,10.91,12.54,681.4415,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Mate",14.59,12.12,11.36,11.21,12.54,861.4782,"M","bajo","Bogo","a19M","noLE","noMa","E2",20
"Mate",13.63,11.16,10.7,10.91,11.6,745.2345,"M","medio","Cund","a16m","noLE","noMa","E3",15
"Mate",11.75,12.12,10.38,9.57,13.37,720.0193,"M","bajo","Otro","a16m","siLE","siMa","E2",16
"Mate",11.48,11.16,11.71,11.54,10.96,699.8969,"M","bajo","Cund","a17","noLE","siMa","E2",17
"Mate",13.63,10.16,11.03,11.92,11.26,732.4398,"M","medio","Bogo","a19M","noLE","noMa","E3",28
"Mate",11.75,11.8,12.48,11.21,12.54,789.2217,"M","bajo","Bogo","a18","noLE","siMa","E2",18
"Mate",13.26,12.12,11.36,11.21,11.26,783.7364,"M","medio","Otro","a17","noLE","noMa","E3",17
"Mate",13.26,12.12,11.36,11.92,11.6,805.1988,"M","medio","Bogo","a19M","noLE","noMa","E3",21
"Mate",14.07,11.8,13.43,11.54,12.01,894.5053,"M","medio","Bogo","a19M","noLE","noMa","E3",19
"Mate",14.07,13.17,10.05,11.21,12.54,834.9414,"M","bajo","Bogo","a19M","noLE","noMa","E2",21
"Mate",11.75,11.8,11.36,11.54,11.6,735.1223,"M","bajo","Bogo","a16m","noLE","siMa","E2",16
"Mate",11.48,13.17,10.05,11.21,10.96,706.0888,"M","bajo","Bogo","a19M","noLE","siMa","E2",44
"Mate",15.29,11.48,11.71,11.92,11.6,865.8879,"M","bajo","Bogo","a19M","noLE","noMa","E1",25
"Mate",11.48,11.16,11.36,11.21,10.68,675.1894,"F","bajo","Cund","a19M","noLE","siMa","E2",19
"Mate",15.29,13.58,12.92,14.67,13.37,1071.2655,"M","alto","Bogo","a17","noLE","noMa","E5",17
"Mate",11.75,11.16,10.7,10.91,12.54,702.8175,"M","bajo","Bogo","a17","noLE","siMa","E1",17
"Mate",11.21,10.16,12.08,11.54,13.37,728.0981,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Mate",12.31,12.45,12.92,10.62,11.6,811.5582,"M","alto","Bogo","a17","noLE","noMa","E4",17
"Mate",12.31,12.45,11.71,10.62,11.6,771.1563,"M","bajo","Bogo","a19M","noLE","noMa","E2",24
"Mate",11.75,11.8,11.71,10.62,10.68,706.8059,"M","medio","Otro","a19M","noLE","siMa","E3",20
"Mate",12.03,11.16,10.7,9.83,12.54,692.4802,"M","medio","Bogo","a19M","siLE","siMa","E3",20
"Mate",12.31,12.45,11.36,11.92,11.26,775.0609,"M","alto","Otro","a16m","noLE","noMa","E4",16
"Mate",11.75,12.45,10.7,9.57,10.68,675.7154,"M","bajo","Cund","a19M","siLE","siMa","E2",23
"Mate",10.03,12.12,10.38,11.92,10.68,637.0722,"M","bajo","Otro","a16m","noLE","siMa","E2",16
"Mate",14.07,13.58,11.36,11.21,12.01,879.473,"M","alto","Bogo","a19M","noLE","noMa","E4",30
"Mate",11.48,11.48,11.71,10.08,12.01,709.5512,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Mate",18.29,13.17,11.36,11.92,13.37,1058.8842,"M","alto","Bogo","a19M","noLE","noMa","E4",19
"Mate",12.31,10.51,9.72,11.54,13.37,699.7137,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Mate",12.31,11.16,9.72,11.21,12.54,695.2647,"M","bajo","Bogo","a16m","noLE","noMa","E2",16
"Mate",12.92,10.51,10.7,10.62,11.6,693.0167,"M","alto","Bogo","a19M","noLE","noMa","E4",29
"Mate",10.93,10.16,9.72,10.91,10.41,555.0777,"M","bajo","Otro","a19M","noLE","siMa","E1",25
"Mate",12.92,10.51,12.48,10.62,11.6,752.3607,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Mate",12.03,11.48,10.7,12.35,11.6,726.7896,"F","medio","Bogo","a16m","noLE","siMa","E3",16
"Mate",13.26,12.12,11.71,10.91,11.26,789.719,"M","medio","Bogo","a19M","noLE","noMa","E3",30
"Mate",11.21,10.84,12.08,11.54,10.41,678.3089,"F","medio","Bogo","a19M","noLE","siMa","E3",19
"Mate",13.63,11.48,11.03,11.54,12.54,801.6422,"M","medio","Bogo","a16m","noLE","noMa","E3",16
"Mate",9.68,10.84,11.03,9.83,9.37,532.9323,"M","bajo","Otro","a19M","siLE","siMa","E1",19
"Mate",13.26,12.45,11.03,10.91,10.68,763.6611,"M","bajo","Otro","a19M","noLE","noMa","E2",25
"Mate",12.03,12.12,11.71,11.92,10.96,758.1601,"F","alto","Otro","a16m","noLE","siMa","E5",16
"Mate",14.07,12.8,11.36,11.54,9.89,807.1642,"M","bajo","Otro","a16m","noLE","noMa","E2",16
"Mate",10.64,12.8,11.71,10.91,12.01,740.0318,"M","bajo","Otro","a17","noLE","siMa","E1",17
"Quim",14.59,12.8,12.08,12.35,10.68,883.4483,"F","medio","Bogo","a16m","noLE","noMa","E3",16
"Quim",10.93,12.12,11.71,10.91,12.01,727.0932,"F","bajo","Bogo","a18","noLE","siMa","E2",18
"Quim",11.21,10.51,11.36,10.35,11.26,641.9792,"F","medio","Bogo","a18","noLE","siMa","E3",18
"Quim",12.03,10.51,11.36,10.62,11.6,684.103,"M","alto","Bogo","a16m","noLE","siMa","E4",16
"Quim",10.34,11.48,11.71,12.35,11.6,701.8492,"M","medio","Bogo","a19M","noLE","siMa","E3",21
"Quim",11.21,11.8,9.38,12.35,10.41,635.2952,"M","medio","Bogo","a19M","noLE","siMa","E3",19
"Quim",11.48,10.51,10.7,10.35,11.6,637.8599,"M","bajo","Bogo","a16m","noLE","siMa","E2",16
"Quim",10.93,11.48,10.38,11.54,10.41,633.4214,"M","bajo","Bogo","a16m","noLE","siMa","E2",16
"Quim",10.34,11.48,11.71,10.91,9.64,626.7585,"F","medio","Bogo","a16m","noLE","siMa","E3",16
"Quim",10.64,11.16,11.03,11.21,10.41,628.3077,"M","medio","Bogo","a19M","noLE","siMa","E3",20
"Quim",11.48,10.84,10.38,10.35,12.01,648.3072,"F","bajo","Bogo","a18","noLE","siMa","E2",18
"Quim",12.31,12.8,12.08,11.54,12.01,822.2854,"M","alto","Bogo","a17","noLE","noMa","E4",17
"Quim",11.75,11.8,10.05,11.54,11.26,682.9751,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Quim",11.21,11.8,11.03,10.62,12.54,710.8073,"M","bajo","Bogo","a19M","noLE","siMa","E2",19
"Quim",11.21,10.51,10.38,12.87,11.26,655.716,"M","medio","Bogo","a19M","noLE","siMa","E3",21
"Quim",12.03,11.48,10.05,11.54,11.26,681.8969,"F","bajo","Cund","a16m","noLE","siMa","E2",16
"Quim",12.03,12.12,10.38,10.62,9.89,663.5122,"M","bajo","Bogo","a19M","noLE","siMa","E2",20
"Quim",11.21,11.16,10.7,11.21,10.96,650.5081,"F","bajo","Bogo","a18","noLE","siMa","E2",18
"Quim",10.03,10.51,12.08,11.21,11.26,640.8983,"M","medio","Bogo","a16m","noLE","siMa","E3",16
"Quim",11.48,11.48,11.03,10.91,10.41,662.5125,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Quim",10.93,11.8,11.36,11.92,10.41,683.8701,"M","medio","Bogo","a19M","noLE","siMa","E3",23
"Quim",11.48,10.84,10.7,11.21,11.26,656.6424,"M","bajo","Otro","a16m","noLE","siMa","E2",16
"Quim",11.21,10.84,12.48,10.08,11.6,694.053,"M","bajo","Otro","a18","noLE","siMa","E2",18
"Quim",11.48,9.78,11.36,11.54,10.41,628.1717,"M","bajo","Cund","a19M","noLE","siMa","E2",19
"Quim",11.21,11.48,11.71,11.54,11.26,708.5855,"M","bajo","Bogo","a19M","noLE","siMa","E1",19
"Quim",12.31,13.17,11.36,11.92,11.26,799.3261,"M","bajo","Otro","a16m","noLE","noMa","E1",16
"Quim",10.93,13.17,10.05,11.21,10.15,667.0295,"F","bajo","Otro","a16m","noLE","siMa","E2",16
"Quim",12.92,13.58,11.03,12.35,11.26,831.0316,"F","medio","Otro","a17","noLE","noMa","E3",17
"Quim",10.03,10.51,12.48,11.21,11.26,654.2138,"M","alto","Bogo","a18","noLE","siMa","E5",18
"Quim",10.64,10.16,11.71,10.91,11.26,632.5133,"M","medio","Cund","a16m","noLE","siMa","E3",16
"Quim",12.31,9.37,11.71,11.21,10.41,648.6945,"M","medio","Cund","a17","noLE","noMa","E3",17
"Quim",11.48,12.12,11.36,12.35,12.01,761.2822,"M","medio","Cund","a17","noLE","siMa","E3",17
"Quim",13.26,12.12,11.71,10.08,11.6,782.9592,"M","medio","Cund","a16m","noLE","noMa","E3",16
"Quim",12.03,11.8,11.03,11.54,11.26,725.1356,"M","bajo","Cund","a19M","noLE","siMa","E2",27
"Quim",11.75,11.8,10.7,11.54,9.64,664.5799,"F","bajo","Otro","a16m","noLE","siMa","E0",16
"Quim",10.03,11.16,11.03,10.62,12.01,635.4052,"M","bajo","Otro","a16m","noLE","siMa","E2",16
"Quim",10.03,11.8,12.92,10.62,9.1,648.2548,"M","bajo","Cund","a19M","noLE","siMa","E2",23
"Quim",10.03,11.48,9.72,10.08,10.15,546.8314,"F","alto","Otro","a17","siLE","siMa","E4",17
"Quim",10.34,10.84,11.36,11.21,11.26,639.2025,"M","medio","Otro","a16m","noLE","siMa","E3",15
"Quim",12.61,11.48,11.03,10.35,10.41,691.4438,"M","bajo","Otro","a17","noLE","noMa","E2",17
"Quim",12.92,11.8,12.08,10.35,11.26,769.1255,"F","alto","Otro","a17","noLE","noMa","E4",17
"Quim",10.34,13.17,10.05,10.35,10.41,637.1088,"F","medio","Bogo","a16m","noLE","siMa","E3",16
"Quim",14.59,13.17,11.71,13.56,11.26,920.5501,"M","alto","Bogo","a16m","noLE","noMa","E4",16
"Quim",11.75,11.48,11.71,12.87,10.96,744.6064,"M","medio","Otro","a16m","noLE","siMa","E3",16
"Quim",12.31,12.12,12.92,13.56,10.68,831.8978,"F","medio","Bogo","a16m","noLE","noMa","E3",16
"Quim",13.63,12.8,12.92,11.21,12.01,890.1348,"M","alto","Bogo","a17","noLE","noMa","E4",17
"Quim",10.93,11.16,11.71,11.21,12.01,700.4831,"F","bajo","Bogo","a17","noLE","siMa","E2",17
"Quim",10.93,11.8,11.36,11.54,10.41,676.9952,"F","medio","Bogo","a16m","noLE","siMa","E3",16
"Quim",11.48,11.48,10.38,10.35,11.6,659.9111,"F","medio","Bogo","a16m","noLE","siMa","E3",16
"Quim",11.48,13.58,12.92,13.56,10.96,859.0653,"M","alto","Bogo","a17","noLE","siMa","E4",17
"Quim",12.03,11.8,11.36,10.91,13.37,776.3564,"F","bajo","Bogo","a16m","noLE","siMa","E2",16
"Quim",11.21,13.17,10.7,10.62,11.6,723.1964,"M","bajo","Bogo","a19M","noLE","siMa","E2",19
"Quim",12.61,11.16,10.05,13.56,11.6,737.0118,"M","bajo","Bogo","a17","noLE","noMa","E2",17
"Quim",12.31,10.16,11.71,11.92,10.96,701.8204,"M","bajo","Bogo","a17","noLE","noMa","E2",17
"Quim",10.93,11.16,11.36,12.35,10.41,670.4055,"M","medio","Bogo","a19M","noLE","siMa","E3",21
"Quim",12.92,12.12,12.92,11.92,10.68,822.6309,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Quim",11.21,10.51,11.36,10.62,11.26,647.0143,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Quim",10.64,10.84,10.7,10.91,11.6,630.2888,"F","bajo","Bogo","a17","noLE","siMa","E2",17
"Quim",12.03,11.16,11.03,11.21,13.37,749.4165,"M","bajo","Otro","a19M","noLE","siMa","E1",19
"Quim",10.34,9.78,10.7,10.35,8.8,504.8829,"M","bajo","Otro","a16m","siLE","siMa","E2",16
"Quim",10.64,11.16,10.7,10.62,12.01,645.8943,"M","bajo","Otro","a16m","noLE","siMa","E1",16
"Quim",11.21,11.16,11.71,8.78,10.41,625.8268,"M","bajo","Otro","a18","siLE","siMa","E2",18
"Quim",11.75,10.51,11.71,11.21,13.37,740.4663,"F","bajo","Otro","a17","noLE","siMa","E2",17
